SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
530789,CEEJAY FINAN,B ,Q,13.22,13.22,13.22,13.22,13.22,13.22,2,400,5288.00,
505923,CEEKAY DAIK ,TS,Q,65.00,65.00,63.05,63.35,64.95,66.35,22,1231,77761.00,
532695,CELEBRITYFAS,B ,Q,19.95,20.60,19.45,19.95,19.95,19.65,89,9777,197366.00,
532871,CELEST LABS ,B ,Q,23.00,23.55,22.60,22.70,22.70,23.00,33,4421,100849.00,
522251,CENLUB INDUS,B ,Q,8.70,9.24,8.50,9.00,9.00,9.11,18,9952,89525.00,
532885,CENTRAL BK  ,A ,Q,104.00,114.25,103.05,111.75,111.75,103.45,5000,570001,61938568.00,
501827,CENTRAL RLY ,B ,Q,127.00,136.30,127.00,130.15,130.15,131.60,11,103,13586.00,
501150,CENTRUM CAP ,B ,Q,1540.00,1540.00,1515.00,1515.00,1515.00,1548.00,3,53,81545.00,
517544,CENTUM ELEC ,T ,Q,69.50,71.00,69.00,69.00,69.00,70.55,12,338,23542.00,
500280,CENTURY ENKA,B ,Q,160.45,164.00,158.00,158.55,158.55,158.75,291,25487,4098352.00,
500083,CENTURY EXT ,B ,Q,6.07,6.22,5.92,6.05,6.05,6.07,84,43424,261689.00,
500040,CENTURY TEXT,A ,Q,492.00,511.00,488.10,498.65,498.65,487.10,11554,773084,389760108.00,
532548,CENTURYPLY  ,S ,Q,46.40,46.75,44.60,44.95,44.95,45.00,205,65590,3002261.00,
532443,CERA SANITAR,B ,Q,115.00,119.65,115.00,119.05,116.50,114.90,27,1144,133177.00,
532413,CEREBRA INTE,B ,Q,7.43,8.45,7.42,8.45,8.45,7.69,141,320467,2550353.00,
500084,CESC LTD.   ,A ,Q,363.05,367.80,355.10,357.35,357.35,361.15,1174,22649,8164332.00,
511272,CFL CAPITAL ,T ,Q,3.30,3.53,3.21,3.34,3.53,3.37,44,13201,44231.00,
531489,CG-VAK SOFTW,B ,Q,10.00,10.50,9.80,10.23,10.00,10.00,19,9397,94092.00,
590089,CHAKKILAM IN,S ,Q,8.00,8.00,8.00,8.00,8.00,8.02,1,200,1600.00,
530307,CHAMANLAL SE,S ,Q,27.50,29.25,27.00,28.15,28.40,27.90,119,13790,388548.00,
500085,CHAMBAL FERT,A ,Q,54.10,55.90,54.00,54.25,54.25,54.05,3959,1112986,61184634.00,
522292,CHANDNI TEXT,B ,Q,14.50,15.00,13.10,13.97,13.70,14.50,35,14320,204647.00,
530309,CHANDRA PRAB,S ,Q,9.50,9.50,9.04,9.04,9.04,9.51,8,1020,9224.00,
512624,CHANDRIKA TR,B ,Q,2.86,2.86,2.86,2.86,2.86,2.73,6,1601,4578.00,
531337,CHANNEL GUID,T ,Q,71.50,72.85,68.10,72.85,72.85,69.40,157,91315,6510971.00,
531327,CHARMS INDUS,B ,Q,2.05,2.05,2.05,2.05,2.05,2.12,6,1700,3485.00,
511696,CHARTERED CA,B ,Q,31.00,31.00,31.00,31.00,31.00,32.00,1,100,3100.00,
531977,CHARTERLOGIS,B ,Q,94.45,98.90,85.05,91.85,91.85,94.45,152,37825,3445462.00,
526917,CHD DEV LTD ,S ,Q,7.51,7.51,6.82,6.82,6.82,7.16,281,279052,1949952.00,
530871,CHEMBOND CHM,S ,Q,172.00,175.25,172.00,172.00,172.00,166.95,4,105,18275.00,
533026,CHEMCEL     ,B ,Q,6.85,7.20,6.51,6.56,6.56,6.62,170,249771,1675492.00,
506894,CHEMFAB ALK ,B ,Q,41.00,43.90,41.00,43.35,43.50,43.50,18,3535,150516.00,
506355,CHEMPLAST SA,B ,Q,7.15,7.40,6.70,6.92,6.92,6.87,212,159705,1130506.00,
500110,CHENNAI PET.,A ,Q,229.95,229.95,220.60,224.95,224.95,226.40,980,74481,16757246.00,
521056,CHESLIND TEX,B ,Q,9.81,9.81,9.40,9.69,9.69,9.35,7,527,5023.00,
590001,CHETTINAD(PS,B ,Q,407.15,412.00,405.00,405.25,405.25,415.00,18,100,40676.00,
526817,CHEVIOT CO. ,S ,Q,191.45,192.00,180.00,182.40,182.40,187.95,93,2945,547524.00,
532969,CHI INVEST  ,B ,Q,66.50,66.65,63.20,66.65,66.65,63.50,1578,329667,21803933.00,
521244,CHITRA.SPIN.,B ,Q,1.95,1.95,1.77,1.89,1.89,1.86,11,3975,7112.00,
532992,CHL LTD     ,B ,Q,78.00,81.00,78.00,81.00,81.00,77.40,40,3958,316148.00,
531358,CHOICE INT. ,B ,Q,91.00,94.00,91.00,94.00,94.00,89.55,63,14425,1351158.00,
511742,CHOKHANI SEC,B ,Q,14.72,14.72,14.72,14.72,14.72,14.02,4,30,441.00,
530427,CHOKSI IMAG ,B ,Q,33.10,34.80,32.30,32.30,32.30,34.15,35,4478,149054.00,
526546,CHOKSI LABOR,B ,Q,9.70,10.55,9.70,9.94,9.94,10.60,24,3808,38274.00,
511243,CHOLA DBS   ,B ,Q,80.40,80.40,80.40,80.40,80.40,76.60,55,18483,1486033.00,
519475,CHORDIA FOOD,B ,Q,38.95,38.95,38.00,38.00,38.00,38.00,3,750,28595.00,
501833,CHOWGULE ST ,B ,Q,59.20,61.50,56.00,56.75,56.75,58.00,1439,412996,24281570.00,
532184,CIBA INDIA  ,S ,Q,247.50,249.00,240.10,241.45,241.45,244.60,69,5813,1414987.00,
530829,CIL SECURITS,B ,Q,18.00,18.50,18.00,18.50,18.50,18.50,2,1309,23966.00,
526373,CINDRELLA HT,S ,Q,30.00,30.00,27.30,28.90,28.90,28.70,7,43,1179.00,
532807,CINEMAX IND ,B ,Q,57.90,59.95,55.05,56.40,56.40,57.40,276,27356,1585256.00,
530457,CINERAD COMM,B ,Q,7.61,7.99,7.61,7.99,7.99,8.00,2,65,500.00,
532324,CINEVISTAAS ,T ,Q,6.00,6.00,5.85,5.99,5.99,6.00,41,16541,97410.00,
500087,CIPLA LTD.  ,A ,Q,271.00,272.00,262.50,265.10,265.10,267.35,1821,135985,36086873.00,
532913,CIRCUIT SYS ,B ,Q,11.71,12.25,11.70,12.13,12.25,11.93,31,8085,96956.00,
531235,CITI PORT FN,B ,Q,20.75,20.75,20.75,20.75,20.75,19.95,1,5,103.00,
532210,CITY UNION  ,B ,Q,28.25,28.25,26.10,26.25,26.25,27.35,1837,1139274,30782347.00,
507515,CJ GELATIN  ,B ,Q,9.80,9.80,9.40,9.62,9.79,9.46,7,7,67.00,
