Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date
111502;FORTIS FIXED TERM PLAN - SERIES 14 - PLAN B - Instl Plan - Dividend on Maturity Option;0.0000;0.0000;0.0000;06-Aug-2009
111509;FORTIS FIXED TERM PLAN - SERIES 14 - PLAN B - Regular Plan - Dividend on Maturity Option;10.4518;10.2428;10.4518;06-Aug-2009
111086;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Institutional Plan - Dividend on Maturity Option;0.0000;0.0000;0.0000;06-Aug-2009
111085;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Institutional Plan - Growth Option;0.0000;0.0000;0.0000;06-Aug-2009
111089;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Institutional Plan - Monthly Dividend Option;0.0000;0.0000;0.0000;06-Aug-2009
111078;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Institutional Plan - Quarterly Dividend Option;0.0000;0.0000;0.0000;06-Aug-2009
111087;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Institutional Plan - Yearly Dividend Option;0.0000;0.0000;0.0000;06-Aug-2009
111082;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Institutional Plan – Half Yearly Dividend Option;0.0000;0.0000;0.0000;06-Aug-2009
111083;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Regular Plan - Dividend on Maturity Option;11.5202;11.2898;11.5202;06-Aug-2009
111081;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Regular Plan - Growth Option;11.5183;11.2879;11.5183;06-Aug-2009
111080;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Regular Plan - Monthly Dividend Option;10.0731;9.8716;10.0731;06-Aug-2009
111079;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Regular Plan - Quarterly Dividend Option;10.1470;9.9441;10.1470;06-Aug-2009
111088;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Regular Plan - Yearly Dividend Option;10.4665;10.2572;10.4665;06-Aug-2009
111084;Fortis FIXED TERM PLAN - SERIES 9: THREE YEARLY PLAN A - Regular Plan – Half Yearly Dividend Option;10.4659;10.2566;10.4659;06-Aug-2009
105524;Franklin Templeton Capital Protection Oriented Fund - 3 Years Plan - Dividend;11.6944;11.6944;11.6944;06-Aug-2009
105523;Franklin Templeton Capital Protection Oriented Fund - 3 Years Plan - Growth;11.9116;11.9116;11.9116;06-Aug-2009
105526;Franklin Templeton Capital Protection Oriented Fund - 5 Years Plan - Dividend;11.7672;11.7672;11.7672;06-Aug-2009
105525;Franklin Templeton Capital Protection Oriented Fund - 5 Years Plan - Growth;12.0966;12.0966;12.0966;06-Aug-2009
104392;Franklin Templeton Capital Safety Fund - 3 Years Plan - Annual Dividend;11.6723;11.6723;11.6723;06-Aug-2009
104391;Franklin Templeton Capital Safety Fund - 3 Years Plan - Growth;11.9447;11.9447;11.9447;06-Aug-2009
104390;Franklin Templeton Capital Safety Fund - 5 Years Plan - Annual Dividend;11.8043;11.8043;11.8043;06-Aug-2009
104389;Franklin Templeton Capital Safety Fund - 5 Years Plan - Growth;12.1945;12.1945;12.1945;06-Aug-2009
105323;Franklin Templeton Fixed Tenure Fund - Series VIII - 60 Months Plan (Plan A) - Dividend Plan;11.6192;11.1544;11.6192;06-Aug-2009
105322;Franklin Templeton Fixed Tenure Fund - Series VIII - 60 Months Plan (Plan A) - Growth Plan;12.0519;11.5698;12.0519;06-Aug-2009
108224;Franklin Templeton Fixed Tenure Fund – Series IX – Plan A - Dividend;10.8454;10.5743;10.8454;06-Aug-2009
108223;Franklin Templeton Fixed Tenure Fund – Series IX – Plan A - Growth;10.8454;10.5743;10.8454;06-Aug-2009
108226;Franklin Templeton Fixed Tenure Fund – Series IX – Plan B - Dividend;11.0062;10.6760;11.0062;06-Aug-2009
108225;Franklin Templeton Fixed Tenure Fund – Series IX – Plan B - Growth;11.0062;10.6760;11.0062;06-Aug-2009
109116;Franklin Templeton Fixed Tenure Fund – Series X – Plan A - Dividend;11.2257;10.9451;11.2257;06-Aug-2009
109115;Franklin Templeton Fixed Tenure Fund – Series X – Plan A - Growth;11.2257;10.9451;11.2257;06-Aug-2009
109676;Franklin Templeton Fixed Tenure Fund – Series X – Plan B - Dividend;11.3778;11.0934;11.3778;06-Aug-2009
109675;Franklin Templeton Fixed Tenure Fund – Series X – Plan B - Growth;11.3778;11.0934;11.3778;06-Aug-2009
109117;Franklin Templeton Fixed Tenure Fund – Series X – Plan C - Dividend;11.3268;10.9870;11.3268;06-Aug-2009
109118;Franklin Templeton Fixed Tenure Fund – Series X – Plan C - Growth;11.3268;10.9870;11.3268;06-Aug-2009
109678;Franklin Templeton Fixed Tenure Fund – Series X – Plan D - Dividend;11.6367;11.2876;11.6367;06-Aug-2009
109677;Franklin Templeton Fixed Tenure Fund – Series X – Plan D - Growth;11.6367;11.2876;11.6367;06-Aug-2009
103056;Franklin Templeton Fixed Tenure Fund-Series I(60 Month Plan)-Dividend;11.8169;11.3442;11.8169;06-Aug-2009
103055;Franklin Templeton Fixed Tenure Fund-Series I(60 Month Plan)-Growth;16.4820;15.8227;16.4820;06-Aug-2009
104079;Franklin Templeton Fixed Tenure Fund - Series VI (60 Months Plan) - Annual Dividend Plan;11.6997;11.2317;11.6997;06-Aug-2009
104078;Franklin Templeton Fixed Tenure Fund - Series VI (60 Months Plan) - Growth Plan;13.0473;12.5254;13.0473;06-Aug-2009
103203;Franklin Templeton Fixed Tenure Fund-SeriesII (60MonthsPlan)-Annual Dividend Plan;12.9318;12.4145;12.9318;06-Aug-2009
