SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
511742,CHOKHANI SEC,B ,Q,8.83,8.83,7.99,7.99,7.99,8.41,8,2082,18323.00,
530427,CHOKSI IMAG ,B ,Q,15.28,16.70,15.28,16.68,16.68,15.97,8,827,13386.00,
526546,CHOKSI LABOR,B ,Q,6.60,6.65,6.36,6.50,6.50,6.69,8,3651,24142.00,
511243,CHOLA DBS   ,T ,Q,43.05,44.25,43.05,44.00,44.25,43.55,27,2500,109557.00,
519475,CHORDIA FOOD,B ,Q,29.10,30.45,28.50,30.45,30.45,29.00,5,445,12861.00,
501833,CHOWGULE ST ,B ,Q,28.00,29.10,28.00,28.45,28.15,28.35,84,17426,497496.00,
532184,CIBA INDIA  ,S ,Q,233.50,237.00,233.50,235.00,234.35,233.75,25,2344,550537.00,
530829,CIL SECURITS,B ,Q,15.55,15.55,15.55,15.55,15.55,14.85,1,1000,15550.00,
526373,CINDRELLA HT,TS,Q,29.65,29.65,29.65,29.65,29.65,28.50,2,41,1215.00,
532807,CINEMAX IND ,B ,Q,43.00,43.90,42.65,42.75,42.70,42.95,49,3249,139564.00,
532324,CINEVISTAAS ,B ,Q,4.36,4.75,4.36,4.55,4.55,4.72,27,7964,36484.00,
500087,CIPLA LTD.  ,A ,Q,222.00,225.70,219.00,221.90,221.90,220.35,3162,437844,97094725.00,
532913,CIRCUIT SYS ,B ,Q,10.34,10.35,9.00,9.75,9.75,9.90,21,2085,20184.00,
531235,CITI PORT FN,B ,Q,7.45,7.45,7.45,7.45,7.45,7.10,2,61,454.00,
532210,CITY UNION  ,B ,Q,15.95,15.95,15.40,15.75,15.75,15.75,216,63030,986082.00,
506390,CLARI CHEM  ,B ,Q,186.50,186.95,183.05,185.95,185.95,184.20,125,8626,1595117.00,
523200,CLASS.DIAM. ,B ,Q,12.20,12.94,12.20,12.57,12.57,12.72,49,6762,85566.00,
511672,CLAURS      ,T ,Q,1.93,2.10,1.93,2.10,2.10,2.00,4,202,407.00,
530839,CLIO INFOTEC,B ,Q,1.71,1.71,1.56,1.56,1.56,1.64,14,2007,3131.00,
505052,CLUTCH.AUTO ,S ,Q,19.50,20.00,19.00,19.50,19.80,19.35,68,12964,253043.00,
517326,CMC LTD.    ,B ,Q,519.95,530.00,505.10,510.30,510.30,503.10,835,15411,7943864.00,
500147,CMI FPE     ,S ,Q,237.10,260.00,237.10,244.40,244.40,254.90,17,29522,7215169.00,
503673,CMM BROADCAS,T ,Q,2.07,2.08,2.00,2.08,2.08,2.00,7,4259,8750.00,
523489,CMM HOSPITAL,S ,Q,5.84,5.84,5.84,5.84,5.84,5.83,1,100,584.00,
512018,CNI RES LTD ,T ,Q,10.52,10.52,10.46,10.46,10.46,11.00,43,45585,476910.00,
513353,COCHIN MIN. ,S ,Q,31.30,31.40,30.25,31.40,31.40,30.35,13,805,25158.00,
500830,COLGATE PALM,A ,Q,469.90,469.90,455.30,457.55,456.00,465.45,732,17864,8224788.00,
531216,COMFORT INTE,S ,Q,26.10,27.10,26.05,26.40,27.10,26.70,23,14830,392059.00,
526987,COMMITMENT C,T ,Q,7.38,7.38,6.68,7.00,7.00,7.03,13,101206,676596.00,
526141,COMPACT DISC,B ,Q,40.00,40.00,38.85,39.25,39.45,39.75,111,8141,319824.00,
531041,COMPETENT AU,S ,Q,22.55,24.40,22.55,24.40,24.40,23.25,4,152,3706.00,
532688,COMPU SYSTEM,B ,Q,12.10,12.10,11.85,12.01,12.01,12.35,4,731,8778.00,
532456,COMPUAGE INF,B ,Q,30.50,30.50,30.50,30.50,30.50,32.05,1,53,1616.00,
532339,COMPUCOM SOF,S ,Q,8.50,8.90,8.50,8.79,8.90,8.51,45,19955,174300.00,
532363,COMP-U-LEARN,B ,Q,3.52,3.87,3.51,3.80,3.82,3.69,57,22428,82318.00,
531224,COMPUTECH IN,B ,Q,3.10,3.15,2.88,3.06,3.06,3.03,14,4477,13240.00,
507833,COMPUTER PNT,B ,Q,2.26,2.46,2.26,2.35,2.35,2.36,13,1502,3622.00,
